iter	RMSE
0	14.01983248
1	13.1983708
2	12.37780851
3	11.65880609
4	11.05677352
5	10.40920739
6	9.908187559
7	9.445345175
8	8.981884393
9	8.567758463
10	8.256505724
11	7.924634972
12	7.638699841
13	7.435405864
14	7.179859552
15	6.976682096
16	6.796287573
17	6.635347734
18	6.503333984
19	6.385690866
20	6.279694003
21	6.182408017
22	6.089830975
23	6.009482546
24	5.94212632
25	5.866597438
26	5.798861327
27	5.753872563
28	5.708239495
29	5.659614882
30	5.58987609
31	5.544484459
32	5.505574201
33	5.466588647
34	5.436777069
35	5.419997181
36	5.397729542
37	5.376182767
38	5.345467869
39	5.319010104
40	5.293677995
41	5.268785959
42	5.246324102
43	5.220854161
44	5.202736942
45	5.192493589
46	5.174613858
47	5.163244524
48	5.156460073
49	5.143901337
50	5.134343479
51	5.120029607
52	5.113046145
53	5.111457742
54	5.099201982
55	5.087796488
56	5.076519239
57	5.06664866
58	5.045326285
59	5.028691741
60	5.025718236
61	5.000883718
62	4.989498018
63	4.982411099
64	4.969828374
65	4.957892021
66	4.949779071
67	4.936901234
68	4.922222554
69	4.911256978
70	4.898271165
71	4.881246866
72	4.869009204
73	4.863101451
74	4.850906566
75	4.83858594
76	4.830731488
77	4.81898778
78	4.812384581
79	4.802513246
80	4.800925405
81	4.796615925
82	4.789907102
83	4.777113662
84	4.772790945
85	4.762619311
86	4.749897019
87	4.743563578
88	4.736425022
89	4.733923267
90	4.731222587
91	4.7222139
92	4.714678007
93	4.710015492
94	4.703028711
95	4.70200614
96	4.701064194
97	4.6915739
98	4.690454634
99	4.681627397
