iter	Passed	Remaining
0	1	191
1	3	152
2	4	148
3	6	147
4	7	144
5	9	141
6	10	138
7	11	137
8	13	136
9	14	132
10	16	132
11	18	133
12	19	131
13	21	130
14	22	128
15	24	126
16	25	124
17	26	122
18	28	120
19	30	120
20	31	118
21	32	116
22	34	115
23	35	112
24	37	111
25	38	109
26	39	107
27	41	106
28	42	104
29	44	103
30	45	102
31	47	100
32	48	98
33	50	97
34	51	95
35	52	94
36	54	92
37	55	90
38	57	89
39	58	87
40	60	86
41	61	85
42	62	83
43	64	81
44	65	80
45	66	78
46	68	77
47	69	75
48	70	73
49	72	72
50	73	70
51	75	69
52	76	67
53	77	65
54	78	64
55	80	62
56	81	61
57	82	59
58	84	58
59	85	56
60	86	55
61	88	53
62	89	52
63	91	51
64	92	49
65	93	48
66	95	46
67	96	45
68	97	43
69	98	42
70	100	41
71	101	39
72	103	38
73	104	36
74	105	35
75	106	33
76	107	32
77	109	30
78	110	29
79	111	27
80	112	26
81	114	25
82	115	23
83	117	22
84	118	20
85	119	19
86	121	18
87	122	16
88	124	15
89	125	13
90	126	12
91	127	11
92	129	9
93	130	8
94	132	6
95	133	5
96	135	4
97	136	2
98	138	1
99	139	0
