iter	Passed	Remaining
0	98	98813
1	100	50323
2	102	34153
3	105	26206
4	107	21325
5	109	18076
6	111	15760
7	113	14016
8	114	12625
9	116	11521
10	118	10621
11	119	9866
12	121	9233
13	123	8705
14	125	8254
15	127	7859
16	129	7499
17	131	7190
18	133	6904
19	135	6645
20	137	6414
21	139	6209
22	142	6032
23	144	5865
24	146	5715
25	148	5571
26	150	5427
27	152	5290
28	154	5162
29	156	5051
30	158	4958
31	160	4854
32	162	4752
33	163	4655
34	165	4567
35	167	4484
36	169	4407
37	171	4334
38	173	4265
39	174	4191
40	176	4121
41	177	4056
42	179	3995
43	181	3938
44	182	3877
45	184	3819
46	186	3773
47	187	3720
48	189	3671
49	190	3628
50	192	3585
51	194	3543
52	196	3505
53	198	3471
54	199	3433
55	201	3402
56	203	3367
57	205	3333
58	206	3298
59	208	3264
60	210	3233
61	211	3203
62	213	3173
63	214	3141
64	216	3116
65	218	3089
66	219	3062
67	221	3037
68	223	3015
69	225	2995
70	227	2974
71	228	2949
72	230	2925
73	231	2902
74	233	2882
75	235	2864
76	237	2845
77	238	2822
78	240	2802
79	241	2782
80	243	2761
81	244	2741
82	246	2718
83	247	2703
84	249	2687
85	251	2669
86	252	2651
87	254	2633
88	255	2616
89	256	2598
90	258	2580
91	259	2563
92	261	2546
93	262	2529
94	263	2512
95	265	2497
96	266	2482
97	268	2467
98	269	2450
99	270	2436
100	272	2422
101	273	2407
102	274	2393
103	276	2383
104	278	2373
105	280	2363
106	281	2350
107	282	2337
108	284	2323
109	286	2314
110	287	2302
111	288	2290
112	290	2279
113	291	2267
114	293	2255
115	294	2243
116	295	2231
117	297	2221
118	298	2210
119	300	2201
120	301	2191
121	302	2178
122	304	2169
123	305	2161
124	307	2153
125	309	2144
126	310	2133
127	311	2125
128	313	2115
129	315	2108
130	316	2100
131	318	2092
132	319	2083
133	321	2076
134	322	2068
135	324	2060
136	326	2054
137	327	2047
138	329	2039
139	330	2030
140	332	2023
141	332	2011
142	334	2003
143	335	1996
144	337	1989
